product_id,product_link,kegunaan,nama,,rating,harga,berat,tempat,image_src
1653555539-67,https://www.tokopedia.com/gantari-sh/fungisida-remazole-p-490-ec-250-ml-limited?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,FUNGISIDA REMAZOLE-P 490 EC - 250 ML Limited,,,345600,980 Gram,Jakarta Timur,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/3/3/025cf28a-bc7c-4378-986c-a3b9a3673475.jpg
1653555644-72,https://www.tokopedia.com/nauraols1/unik-fungisida-remazole-p-490-ec-250-ml-murah?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,Unik Fungisida Remazole-P 490 ec 250 ml Murah,,,239200,2.000 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/4/1/eb96efc8-69ae-4cff-9eb0-ae47dd9f7968.jpg
1653554639-52,https://www.tokopedia.com/dirsura/promo-fungisida-remazole-p-490-ec-400ml-pl?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,Promo FUNGISIDA REMAZOLE-P 490 EC 400ML pl,,,434920,800 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/5/5/62133e6e-f7fb-4c86-9370-151a3acab0af.jpg
1653555828-81,https://www.tokopedia.com/subhansh/remazole-p-490-ec-250ml-fungisida-pembasmi-jamur-ori?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,REMAZOLE-P 490 EC 250ml fungisida pembasmi jamur ORI,,,244000,200 Gram,Jakarta Selatan,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/24/5a1c4d77-5333-413f-bf71-bf5a09cb77e4.jpg
1653555897-84,https://www.tokopedia.com/trisnajaya/ec-bisa-4-4-fungisida-remazole-p-490?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,EC BISA 4.4 fungisida remazole P 490,,,353100,453 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/5/18/77f78e7b-863f-4b55-9128-ab2de63a3078.jpg
1653555687-74,https://www.tokopedia.com/memoshop1/art-q3k-fungisida-remazole-p-490-ec-250-ml?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,[Art. Q3K] Fungisida Remazole-P 490 Ec - 250 Ml,,,445700,450 Gram,Jakarta Selatan,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/5/20/8ef826ec-26a5-4988-a827-766df9d5dd11.jpg
1653556324-106,https://www.tokopedia.com/roy-mandiri/fungisida-remazole-p-490-ec-400-ml?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,FUNGISIDA REMAZOLE-P 490 EC - 400 ML,12,4.8,250000,600 Gram,Kab. Nganjuk,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/15/6f1ca9d4-4b9b-45e3-a839-eae374b36f6a.png
1653555581-69,https://www.tokopedia.com/rumahgrosirindo-1/new-fungisida-remazole-p-490-ec-400ml-vb?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,New FUNGISIDA REMAZOLE-P 490 EC 400ML vb,,,429920,800 Gram,Jakarta Selatan,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/4/18/954e2a88-f6f6-44ce-a427-479655c766c9.jpg
1653555666-73,https://www.tokopedia.com/exo-one/banyak-dicari-remazole-p-490-ec-250ml-fungisida-pembasmi-jamur?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,Banyak dicari REMAZOLE-P 490 EC 250ml fungisida pembasmi jamur,,,301100,300 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/4/19/17ec720f-1b06-4535-9032-e47adda3db96.jpg
1653555939-86,https://www.tokopedia.com/petanijk/fungisida-remazole-p-490-ec-400-ml-terlaris?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,FUNGISIDA REMAZOLE-P 490 EC - 400 ML -TERLARIS,,,342000,400 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/14/49c325f1-eb46-4ce8-af21-0f3dfff75fe4.jpg
1653555958-87,https://www.tokopedia.com/petanijk/fungisida-remazole-p-490-ec-250-ml-terlaris?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,FUNGISIDA REMAZOLE-P 490 EC - 250 ML -TERLARIS,,,225000,400 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/14/ef402899-21ea-45da-96be-34f7a6bd6546.jpg
1653556054-92,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_17HAep6Ae7bm-xgVY789CBUsthbm-FQRo2PcB5QiUEH_nDUSz2Q31i6sJfo_HOo_epHAJDUMoFyaUE6A1Fbm-xgVYpyfYagZUEHpnFbsHF6_17bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMzD3uzuoJOJqchHuJ77_1PzPJNJe9xvepn7392oHjh1zMBqqj2k_jPVou2ku9P6e7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QjdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-oJO_oAC6zJVR_1zzP7OJZ_o6uV17Z3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_92CP7hk_9PvuVuE_S2z8JYJqRxo8MP2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUsVeqfu6rfPhZRuJu7hO9OCdo3WdPfBO1co6ZR2EPOVWPMJNopJOZfPR8VrNoBY01pBbofBV_Sub_cBZZ3yhoIBNQJKfzsxoZBoAg3Pt9RBmQJ2hgcd71fHNZfWj_7WA392FgBxWg7gVzJh36JYt11xooJ2_y32m832XQM-7QjB2UiFiy3hSUstiy3h79fWB89P5rMzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDN6AeDH_yOomFhos1R9ZFiQBYsy3Njq3zxPcuwy3zpUsthHAeDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6_K7HaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiUB7DUMVDPcuaQMV7guY0g9BRQR-jUstiq3Npg3W7q9o2gcJKoAnFUcusUiFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-FrMBsguYiq3ei6sKOHmFigfYxQVY2gmUEHiFiqp-09fz2rRzxQMoB9RosQR-BUstFbsUpopo_UaosrOHAHRHpK7bm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6s1hHidfoAe7oAyF6_eRHpHfbm-hP3ua8uYag3hay3N09RosQR-BUstFbsrFopnOHpedHs1pHs1FH_-Y?ob=23&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fdewisriagro%2Finsektisida-starban-585-ec-kemasan-400-ml%3Fsrc%3Dtopads&src=search&page=1&dv=desktop&management_type=1&is_search=1&keywords=remazole-p+490+ec,Brown Spot,Insektisida Starban 585 EC kemasan 400 ml,,,114000,750 Gram,Kab. Tangerang,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/10/8/383f379b-c3b3-4933-b705-8a2efd7fb6c6.jpg
1653555996-89,https://www.tokopedia.com/petanijk/fungisida-remazole-p-490-ec-100-ml-terlaris?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,FUNGISIDA REMAZOLE-P 490 EC - 100 ML -TERLARIS,,,103000,400 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/14/8d8e6799-7f2d-44c4-b58a-4ad9bc05b926.jpg
1653556248-102,https://www.tokopedia.com/kliniktanipanen/fungisida-remazole-p-490-ec-400-ml?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,FUNGISIDA REMAZOLE-P 490 EC (400 ML),2,5,263000,410 Gram,Kab. Kediri,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/24/f1a24b95-245f-4b2d-ad70-59ebf2573699.png
1653554573-49,https://www.tokopedia.com/flipolstore/baru-fungisida-remazole-p-490-ec-100ml-pg-jaktim-ty?extParam=ivf%3Dfalse%26src%3Dsearch,Brown Spot,Baru Fungisida â€“ Remazole P 490 EC 100ml PG JAKTIM ty,,,177000,800 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2022/4/1/7f38a8d9-2ec7-4b07-9497-1fdfd5012939.jpg
